0 verbose cli D:\Program Files\nodejs\node.exe D:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
1 info using npm@10.7.0
2 info using node@v18.20.3
3 silly config:load:file:d:\Users\marco\AppData\Roaming\nvm\v18.20.3\node_modules\npm\npmrc
4 silly config:load:file:d:\Users\marco\Documents\GitHub\charsheet\.npmrc
5 silly config:load:file:C:\Users\marco\.npmrc
6 silly config:load:file:D:\Program Files\nodejs\etc\npmrc
7 verbose title npm outdated
8 verbose argv "outdated" "--json"
9 verbose logfile logs-max:10 dir:d:\Users\marco\Documents\GitHub\charsheet\_logs\2024-08-06T16_26_13_966Z-
10 verbose logfile d:\Users\marco\Documents\GitHub\charsheet\_logs\2024-08-06T16_26_13_966Z-debug-0.log
11 silly logfile start cleaning logs, removing 3 files
12 silly logfile done cleaning log files
13 http fetch GET 200 https://registry.npmjs.org/jasmine-core 1575ms (cache miss)
14 http fetch GET 200 https://registry.npmjs.org/karma-jasmine-html-reporter 1602ms (cache miss)
15 http fetch GET 200 https://registry.npmjs.org/karma-jasmine 1669ms (cache miss)
16 http fetch GET 200 https://registry.npmjs.org/karma-coverage 1693ms (cache miss)
17 http fetch GET 200 https://registry.npmjs.org/karma-chrome-launcher 1713ms (cache miss)
18 http fetch GET 200 https://registry.npmjs.org/@types%2fjasmine 1761ms (cache miss)
19 http fetch GET 200 https://registry.npmjs.org/tslib 1800ms (cache miss)
20 http fetch GET 200 https://registry.npmjs.org/zone.js 1951ms (cache miss)
21 http fetch GET 200 https://registry.npmjs.org/karma 1986ms (cache miss)
22 http fetch GET 200 https://registry.npmjs.org/rxjs 2371ms (cache miss)
23 http fetch GET 200 https://registry.npmjs.org/@3d-dice%2fdice-box 3010ms (cache miss)
24 http fetch GET 200 https://registry.npmjs.org/@angular%2fcdk 3465ms (cache miss)
25 http fetch GET 200 https://registry.npmjs.org/@angular%2fcompiler-cli 4184ms (cache miss)
26 http fetch GET 200 https://registry.npmjs.org/@angular%2felements 4478ms (cache miss)
27 http fetch GET 200 https://registry.npmjs.org/@angular%2fanimations 4594ms (cache miss)
28 http fetch GET 200 https://registry.npmjs.org/@angular%2fcommon 4703ms (cache miss)
29 http fetch GET 200 https://registry.npmjs.org/@angular%2fcore 5008ms (cache miss)
30 http fetch GET 200 https://registry.npmjs.org/@angular%2fforms 5283ms (cache miss)
31 http fetch GET 200 https://registry.npmjs.org/@angular%2frouter 5371ms (cache miss)
32 http fetch GET 200 https://registry.npmjs.org/@angular%2fmaterial 5549ms (cache miss)
33 http fetch GET 200 https://registry.npmjs.org/@angular%2fcompiler 5674ms (cache miss)
34 http fetch GET 200 https://registry.npmjs.org/@angular%2fplatform-browser-dynamic 5756ms (cache miss)
35 http fetch GET 200 https://registry.npmjs.org/@angular%2fplatform-browser 5845ms (cache miss)
36 http fetch GET 200 https://registry.npmjs.org/@angular%2fcli 5885ms (cache miss)
37 http fetch GET 200 https://registry.npmjs.org/@angular-devkit%2fbuild-angular 6059ms (cache miss)
38 http fetch GET 200 https://registry.npmjs.org/typescript 6462ms (cache miss)
39 verbose exit 1
40 verbose code 1
